gene,species,species_code,transcript_id,protein_id,region_type,number,genomic_order,between_exons,start,end,absolute_start,absolute_end,strand,length,entropy_method,invalid_symbol_count,invalid_symbols,Htop,status,n,original_length,used_length,p_w_n,usable_for_analysis
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,1,1,,0,213,0,213,1,213,koslicki,0,,0.8809003698103748,ok,3,213,66,39,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,2,2,,1368,1467,1368,1467,1,99,koslicki,0,,0.8869880158145604,ok,3,99,66,40,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,3,3,,9704,9758,9704,9758,1,54,koslicki,0,,0.8648579046593244,ok,2,54,17,11,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,4,4,,18950,19028,18950,19028,1,78,koslicki,0,,0.8987195704631268,ok,3,78,66,42,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,5,5,,20527,20616,20527,20616,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,6,6,,21222,21362,21222,21362,1,140,koslicki,0,,0.8548805028241611,ok,3,140,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,7,7,,25603,25709,25603,25709,1,106,koslicki,0,,0.8407323532264089,ok,3,106,66,33,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,8,8,,28194,28240,28194,28240,1,46,koslicki,0,,0.701838730514401,ok,2,46,17,7,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,9,9,,29561,29638,29561,29638,1,77,koslicki,0,,0.8548805028241611,ok,3,77,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,10,10,,30623,34049,30623,34049,1,3426,koslicki,0,,0.9071462362556625,ok,5,3426,1028,538,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,11,11,,34451,34540,34451,34540,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,12,12,,42908,43080,42908,43080,1,172,koslicki,0,,0.8682422276048251,ok,3,172,66,37,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,13,13,,48869,48996,48869,48996,1,127,koslicki,0,,0.8869880158145604,ok,3,127,66,40,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,14,14,,50962,51153,50962,51153,1,191,koslicki,0,,0.9099052697728829,ok,3,191,66,44,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,15,15,,54245,54556,54245,54556,1,311,koslicki,0,,0.8764034069279067,ok,4,311,259,129,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,16,16,,57788,57876,57788,57876,1,88,koslicki,0,,0.892925334103014,ok,3,88,66,41,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,17,17,,61532,61610,61532,61610,1,78,koslicki,0,,0.861654166907052,ok,3,78,66,36,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,18,18,,62110,62151,62110,62151,1,41,koslicki,0,,0.925109929535273,ok,2,41,17,13,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,19,19,,68348,68432,68348,68432,1,84,koslicki,0,,0.8407323532264089,ok,3,84,66,33,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,20,20,,74366,74421,74366,74421,1,55,koslicki,0,,0.8304820237218407,ok,2,55,17,10,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,21,21,,76289,76363,76289,76363,1,74,koslicki,0,,0.8548805028241611,ok,3,74,66,35,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,22,22,,77780,77841,77780,77841,1,61,koslicki,0,,0.8304820237218407,ok,2,61,17,10,False
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,exon,23,23,,79681,81189,79681,81189,1,1508,koslicki,0,,0.9103287808412022,ok,5,1508,1028,550,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,1,1,1-2,213,1368,213,1368,1,1155,koslicki,0,,0.9129283016944967,ok,5,1155,1028,560,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,2,2,2-3,1467,9704,1467,9704,1,8237,koslicki,0,,0.912607059580581,ok,6,8237,4101,1980,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,3,3,3-4,9758,18950,9758,18950,1,9192,koslicki,0,,0.9172522722411641,ok,6,9192,4101,2058,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,4,4,4-5,19028,20527,19028,20527,1,1499,koslicki,0,,0.9108524456778169,ok,5,1499,1028,552,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,5,5,5-6,20616,21222,20616,21222,1,606,koslicki,0,,0.8937183899380853,ok,4,606,259,142,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,6,6,6-7,21362,25603,21362,25603,1,4241,koslicki,0,,0.9030699466457265,ok,6,4241,4101,1829,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,7,7,7-8,25709,28194,25709,28194,1,2485,koslicki,0,,0.8939579214314692,ok,5,2485,1028,491,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,8,8,8-9,28240,29561,28240,29561,1,1321,koslicki,0,,0.9118941072723507,ok,5,1321,1028,556,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,9,9,9-10,29638,30623,29638,30623,1,985,koslicki,0,,0.884601949631354,ok,4,985,259,135,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,10,10,10-11,34049,34451,34049,34451,1,402,koslicki,0,,0.8924439190498492,ok,4,402,259,141,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,11,11,11-12,34540,42908,34540,42908,1,8368,koslicki,0,,0.9192797163546423,ok,6,8368,4101,2093,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,12,12,12-13,43080,48869,43080,48869,1,5789,koslicki,0,,0.9246164185660465,ok,6,5789,4101,2188,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,13,13,13-14,48996,50962,48996,50962,1,1966,koslicki,0,,0.9164906926675689,ok,5,1966,1028,574,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,14,14,14-15,51153,54245,51153,54245,1,3092,koslicki,0,,0.9055282435501191,ok,5,3092,1028,532,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,15,15,15-16,54556,57788,54556,57788,1,3232,koslicki,0,,0.9144658242831882,ok,5,3232,1028,566,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,16,16,16-17,57876,61532,57876,61532,1,3656,koslicki,0,,0.898299357469431,ok,5,3656,1028,506,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,17,17,17-18,61610,62110,61610,62110,1,500,koslicki,0,,0.884601949631354,ok,4,500,259,135,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,18,18,18-19,62151,68348,62151,68348,1,6197,koslicki,0,,0.9061844112359062,ok,6,6197,4101,1877,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,19,19,19-20,68432,74366,68432,74366,1,5934,koslicki,0,,0.9131522967361453,ok,6,5934,4101,1989,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,20,20,20-21,74421,76289,74421,76289,1,1868,koslicki,0,,0.9197216693110052,ok,5,1868,1028,587,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,21,21,21-22,76363,77780,76363,77780,1,1417,koslicki,0,,0.8980139577639157,ok,5,1417,1028,505,True
BRCA1,Homo sapiens,hs,NM_007294.3,NP_009225.1,intron,22,22,22-23,77841,79681,77841,79681,1,1840,koslicki,0,,0.9092757140919853,ok,5,1840,1028,546,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,1,1,,0,80,1499,1579,1,80,koslicki,0,,0.892925334103014,ok,3,80,66,41,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,2,2,,8018,8072,9517,9571,1,54,koslicki,0,,0.8648579046593244,ok,2,54,17,11,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,3,3,,17273,17351,18772,18850,1,78,koslicki,0,,0.8987195704631268,ok,3,78,66,42,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,4,4,,18851,18940,20350,20439,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,5,5,,19547,19687,21046,21186,1,140,koslicki,0,,0.8479104735417233,ok,3,140,66,34,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,6,6,,23810,23916,25309,25415,1,106,koslicki,0,,0.8407323532264089,ok,3,106,66,33,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,7,7,,26406,26452,27905,27951,1,46,koslicki,0,,0.701838730514401,ok,2,46,17,7,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,8,8,,27772,27849,29271,29348,1,77,koslicki,0,,0.8548805028241611,ok,3,77,66,35,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,9,9,,28829,32255,30328,33754,1,3426,koslicki,0,,0.9074141462752505,ok,5,3426,1028,539,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,10,10,,32657,32746,34156,34245,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,11,11,,40988,41160,42487,42659,1,172,koslicki,0,,0.861654166907052,ok,3,172,66,36,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,12,12,,47003,47130,48502,48629,1,127,koslicki,0,,0.8869880158145604,ok,3,127,66,40,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,13,13,,49091,49282,50590,50781,1,191,koslicki,0,,0.9099052697728829,ok,3,191,66,44,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,14,14,,52392,52703,53891,54202,1,311,koslicki,0,,0.8791778751921813,ok,4,311,259,131,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,15,15,,55936,56024,57435,57523,1,88,koslicki,0,,0.892925334103014,ok,3,88,66,41,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,16,16,,59670,59748,61169,61247,1,78,koslicki,0,,0.861654166907052,ok,3,78,66,36,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,17,17,,60248,60289,61747,61788,1,41,koslicki,0,,0.925109929535273,ok,2,41,17,13,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,18,18,,66516,66600,68015,68099,1,84,koslicki,0,,0.8407323532264089,ok,3,84,66,33,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,19,19,,72500,72555,73999,74054,1,55,koslicki,0,,0.8304820237218407,ok,2,55,17,10,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,20,20,,74423,74497,75922,75996,1,74,koslicki,0,,0.8548805028241611,ok,3,74,66,35,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,21,21,,75911,75972,77410,77471,1,61,koslicki,0,,0.8304820237218407,ok,2,61,17,10,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,exon,22,22,,77806,77931,79305,79430,1,125,koslicki,0,,0.861654166907052,ok,3,125,66,36,False
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,1,1,1-2,80,8018,1579,9517,1,7938,koslicki,0,,0.9147733269583265,ok,6,7938,4101,2016,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,2,2,2-3,8072,17273,9571,18772,1,9201,koslicki,0,,0.9184728369048641,ok,6,9201,4101,2079,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,3,3,3-4,17351,18851,18850,20350,1,1500,koslicki,0,,0.9116343961237469,ok,5,1500,1028,555,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,4,4,4-5,18940,19547,20439,21046,1,607,koslicki,0,,0.8937183899380853,ok,4,607,259,142,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,5,5,5-6,19687,23810,21186,25309,1,4123,koslicki,0,,0.9056709044787632,ok,6,4123,4101,1869,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,6,6,6-7,23916,26406,25415,27905,1,2490,koslicki,0,,0.8930737337562886,ok,5,2490,1028,488,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,7,7,7-8,26452,27772,27951,29271,1,1320,koslicki,0,,0.9113742166049189,ok,5,1320,1028,554,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,8,8,8-9,27849,28829,29348,30328,1,980,koslicki,0,,0.8885655570972713,ok,4,980,259,138,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,9,9,9-10,32255,32657,33754,34156,1,402,koslicki,0,,0.8911603771181208,ok,4,402,259,140,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,10,10,10-11,32746,40988,34245,42487,1,8242,koslicki,0,,0.9192222613539118,ok,6,8242,4101,2092,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,11,11,11-12,41160,47003,42659,48502,1,5843,koslicki,0,,0.9232348291634982,ok,6,5843,4101,2163,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,12,12,12-13,47130,49091,48629,50590,1,1961,koslicki,0,,0.9169925001442314,ok,5,1961,1028,576,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,13,13,13-14,49282,52392,50781,53891,1,3110,koslicki,0,,0.9057991722759177,ok,5,3110,1028,533,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,14,14,14-15,52703,55936,54202,57435,1,3233,koslicki,0,,0.9142107057302551,ok,5,3233,1028,565,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,15,15,15-16,56024,59670,57523,61169,1,3646,koslicki,0,,0.8994353436858858,ok,5,3646,1028,510,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,16,16,16-17,59748,60248,61247,61747,1,500,koslicki,0,,0.8859328551562925,ok,4,500,259,136,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,17,17,17-18,60289,66516,61788,68015,1,6227,koslicki,0,,0.9066957340130023,ok,6,6227,4101,1885,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,18,18,18-19,66600,72500,68099,73999,1,5900,koslicki,0,,0.9156645436913462,ok,6,5900,4101,2031,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,19,19,19-20,72555,74423,74054,75922,1,1868,koslicki,0,,0.9194756854422247,ok,5,1868,1028,586,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,20,20,20-21,74497,75911,75996,77410,1,1414,koslicki,0,,0.8977279923499918,ok,5,1414,1028,504,True
BRCA1,Pan troglodytes,pt,NM_001045493.1,NP_001038958.1,intron,21,21,21-22,75972,77806,77471,79305,1,1834,koslicki,0,,0.9090112419664289,ok,5,1834,1028,545,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,1,1,,0,187,27,214,1,187,koslicki,0,,0.8479104735417233,ok,3,187,66,34,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,2,2,,2842,2941,2869,2968,1,99,koslicki,0,,0.861654166907052,ok,3,99,66,36,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,3,3,,11921,11975,11948,12002,1,54,koslicki,0,,0.8648579046593244,ok,2,54,17,11,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,4,4,,16350,16428,16377,16455,1,78,koslicki,0,,0.8746545855739308,ok,3,78,66,38,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,5,5,,17928,18017,17955,18044,1,89,koslicki,0,,0.8682422276048251,ok,3,89,66,37,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,6,6,,19796,19936,19823,19963,1,140,koslicki,0,,0.8479104735417233,ok,3,140,66,34,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,7,7,,20861,20964,20888,20991,1,103,koslicki,0,,0.8869880158145604,ok,3,103,66,40,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,8,8,,22119,22165,22146,22192,1,46,koslicki,0,,0.75,ok,2,46,17,8,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,9,9,,23878,23955,23905,23982,1,77,koslicki,0,,0.8809003698103748,ok,3,77,66,39,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,10,10,,25316,28631,25343,28658,1,3315,koslicki,0,,0.9131856960608793,ok,5,3315,1028,561,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,11,11,,29453,29524,29480,29551,1,71,koslicki,0,,0.9153088493882792,ok,3,71,66,45,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,12,12,,34513,34685,34540,34712,1,172,koslicki,0,,0.8682422276048251,ok,3,172,66,37,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,13,13,,39106,39236,39133,39263,1,130,koslicki,0,,0.8548805028241611,ok,3,130,66,35,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,14,14,,41856,42035,41883,42062,1,179,koslicki,0,,0.8548805028241611,ok,3,179,66,35,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,15,15,,43725,44006,43752,44033,1,281,koslicki,0,,0.9023960650577703,ok,4,281,259,149,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,16,16,,46551,46639,46578,46666,1,88,koslicki,0,,0.8809003698103748,ok,3,88,66,39,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,17,17,,49397,49475,49424,49502,1,78,koslicki,0,,0.8682422276048251,ok,3,78,66,37,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,18,18,,49923,49964,49950,49991,1,41,koslicki,0,,0.7924812503605781,ok,2,41,17,9,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,19,19,,53941,54022,53968,54049,1,81,koslicki,0,,0.861654166907052,ok,3,81,66,36,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,20,20,,58349,58404,58376,58431,1,55,koslicki,0,,0.8648579046593244,ok,2,55,17,11,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,21,21,,59701,59775,59728,59802,1,74,koslicki,0,,0.861654166907052,ok,3,74,66,36,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,22,22,,60036,60097,60063,60124,1,61,koslicki,0,,0.8648579046593244,ok,2,61,17,11,False
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,exon,23,23,,62043,63192,62070,63219,1,1149,koslicki,0,,0.9182394353404529,ok,5,1149,1028,581,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,1,1,1-2,187,2842,214,2869,1,2655,koslicki,0,,0.9092757140919853,ok,5,2655,1028,546,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,2,2,2-3,2941,11921,2968,11948,1,8980,koslicki,0,,0.9216120384020354,ok,6,8980,4101,2134,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,3,3,3-4,11975,16350,12002,16377,1,4375,koslicki,0,,0.9239552367708616,ok,6,4375,4101,2176,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,4,4,4-5,16428,17928,16455,17955,1,1500,koslicki,0,,0.9184875342908285,ok,5,1500,1028,582,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,5,5,5-6,18017,19796,18044,19823,1,1779,koslicki,0,,0.9108524456778169,ok,5,1779,1028,552,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,6,6,6-7,19936,20861,19963,20888,1,925,koslicki,0,,0.9059909391804483,ok,4,925,259,152,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,7,7,7-8,20964,22119,20991,22146,1,1155,koslicki,0,,0.9121533517340031,ok,5,1155,1028,557,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,8,8,8-9,22165,23878,22192,23905,1,1713,koslicki,0,,0.9047123912114026,ok,5,1713,1028,529,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,9,9,9-10,23955,25316,23982,25343,1,1361,koslicki,0,,0.906339508128851,ok,5,1361,1028,535,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,10,10,10-11,28631,29453,28658,29480,1,822,koslicki,0,,0.9023960650577703,ok,4,822,259,149,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,11,11,11-12,29524,34513,29551,34540,1,4989,koslicki,0,,0.9234569531744728,ok,6,4989,4101,2167,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,12,12,12-13,34685,39106,34712,39133,1,4421,koslicki,0,,0.9223981898321179,ok,6,4421,4101,2148,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,13,13,13-14,39236,41856,39263,41883,1,2620,koslicki,0,,0.917492568250068,ok,5,2620,1028,578,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,14,14,14-15,42035,43725,42062,43752,1,1690,koslicki,0,,0.9076815597050831,ok,5,1690,1028,540,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,15,15,15-16,44006,46551,44033,46578,1,2545,koslicki,0,,0.9116343961237469,ok,5,2545,1028,555,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,16,16,16-17,46639,49397,46666,49424,1,2758,koslicki,0,,0.9216745858195307,ok,5,2758,1028,595,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,17,17,17-18,49475,49923,49502,49950,1,448,koslicki,0,,0.8987280698600022,ok,4,448,259,146,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,18,18,18-19,49964,53941,49991,53968,1,3977,koslicki,0,,0.8997179480937622,ok,5,3977,1028,511,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,19,19,19-20,54022,58349,54049,58376,1,4327,koslicki,0,,0.9234569531744728,ok,6,4327,4101,2167,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,20,20,20-21,58404,59701,58431,59728,1,1297,koslicki,0,,0.9179909090014935,ok,5,1297,1028,580,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,21,21,21-22,59775,60036,59802,60063,1,261,koslicki,0,,0.8962406251802891,ok,4,261,259,144,True
BRCA1,Mus musculus,mm,NM_009764.3,NP_033894.3,intron,22,22,22-23,60097,62043,60124,62070,1,1946,koslicki,0,,0.9033423001537451,ok,5,1946,1028,524,True
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,1,1,,0,188,0,188,1,188,koslicki,0,,0.8407323532264089,ok,3,188,66,33,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,2,2,,942,1048,942,1048,1,106,koslicki,0,,0.8809003698103748,ok,3,106,66,39,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,3,3,,3597,3846,3597,3846,1,249,koslicki,0,,0.8869880158145604,ok,3,249,66,40,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,4,4,,9596,9705,9596,9705,1,109,koslicki,0,,0.892925334103014,ok,3,109,66,41,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,5,5,,10621,10671,10621,10671,1,50,koslicki,0,,0.8648579046593244,ok,2,50,17,11,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,6,6,,10762,10803,10762,10803,1,41,koslicki,0,,0.75,ok,2,41,17,8,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,7,7,,11019,11134,11019,11134,1,115,koslicki,0,,0.9099052697728829,ok,3,115,66,44,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,8,8,,13963,14013,13963,14013,1,50,koslicki,0,,0.75,ok,2,50,17,8,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,9,9,,15439,15551,15439,15551,1,112,koslicki,0,,0.8407323532264089,ok,3,112,66,33,False
BRCA2,Homo sapiens,hs,NM_000059.3,NP_000050.2,exon,10,10,,16792,17908,16792,17908,1,1116,koslicki,0,,0.8965784284662087,ok,5,1116,1028,500,True
